AD family	Representative protein	subjectid	Phage	Host	TaxID	Source	Pfam ID	Phrog ID
APIS030	YP_006479.1	MGV-GENOME-0360789_17		Escherichia	561	MGV	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS031	YP_006494.1	MGV-GENOME-0360789_6		Escherichia	561	MGV	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS030	YP_006479.1	MGV-GENOME-0360883_87		Escherichia	561	MGV	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS030	YP_006479.1	MGV-GENOME-0360966_92		Escherichia	561	MGV	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS030	YP_006479.1	MGV-GENOME-0361542_17		Escherichia	561	MGV	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS031	YP_006494.1	MGV-GENOME-0361542_6		Escherichia	561	MGV	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS031	YP_006494.1	MGV-GENOME-0361826_73		Escherichia	561	MGV	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS030	YP_006479.1	MGV-GENOME-0361826_84		Escherichia	561	MGV	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS031	YP_006494.1	MGV-GENOME-0362168_11		Escherichia	561	MGV	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS030	YP_006479.1	MGV-GENOME-0362168_21		Escherichia	561	MGV	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS088	uvig_218805_40	MGV-GENOME-0362179_92		Blautia	572511	MGV		phrog_20113
APIS082	MGV-GENOME-0365202_107	MGV-GENOME-0363025_71				MGV		phrog_3972
APIS082	MGV-GENOME-0365202_107	MGV-GENOME-0365202_107				MGV		phrog_3972
APIS082	MGV-GENOME-0365202_107	MGV-GENOME-0365464_59				MGV		phrog_3972
APIS082	MGV-GENOME-0365202_107	MGV-GENOME-0366433_104				MGV		phrog_3972
APIS072	IMGVR_UViG_3300039331_000150|3300039331|Ga0169804_01911_10006_10671	MGV-GENOME-0368690_47		Bacteroides	816	MGV	PF07275.14	phrog_2059
APIS003	AAB36891.1	MGV-GENOME-0368771_3		Bacteroidales	171549	MGV	PF07275.14	phrog_2059
APIS072	IMGVR_UViG_3300039331_000150|3300039331|Ga0169804_01911_10006_10671	MGV-GENOME-0370255_146		Bacteroides	816	MGV	PF07275.14	phrog_2059
APIS035	YP_009790938.1	MGV-GENOME-0370602_58				MGV		phrog_3972,phrog_16544
APIS088	uvig_218805_40	MGV-GENOME-0370967_72		Lachnospiraceae	186803	MGV		phrog_20113
APIS018	NP_049868.1	MGV-GENOME-0371733_137				MGV		phrog_3151
APIS017	NP_049811.1	MGV-GENOME-0371733_194				MGV	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS014	NP_049694.1	MGV-GENOME-0371733_41				MGV	PF10465.12	phrog_2167,phrog_9092
APIS013	NP_049653.1	MGV-GENOME-0371733_83				MGV	PF17587.5	phrog_2102
APIS012	NP_049652.1	MGV-GENOME-0371733_84				MGV		phrog_8921,phrog_2375,phrog_3272,phrog_12748
APIS022	NP_861724.1	MGV-GENOME-0371733_86				MGV		phrog_3781,phrog_8539,phrog_4122
APIS083	CP067347_00056	MGV-GENOME-0372528_117		CAG-353		MGV		phrog_20113
APIS088	uvig_218805_40	MGV-GENOME-0372638_34		Lachnospiraceae	186803	MGV		phrog_20113
APIS003	AAB36891.1	MGV-GENOME-0372771_2		Prevotella	838	MGV	PF07275.14	phrog_14321,phrog_2059
APIS002	NP_049728.1	MGV-GENOME-0373836_133				MGV		phrog_717,phrog_26803
APIS016	NP_049750.1	MGV-GENOME-0373836_158				MGV		phrog_755
APIS017	NP_049811.1	MGV-GENOME-0373836_213				MGV	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS022	NP_861724.1	MGV-GENOME-0373836_50				MGV		phrog_3781,phrog_8539,phrog_4122
APIS012	NP_049652.1	MGV-GENOME-0373836_52				MGV		phrog_8921,phrog_2375,phrog_3272,phrog_12748
APIS013	NP_049653.1	MGV-GENOME-0373836_53				MGV	PF17587.5	phrog_2102
APIS014	NP_049694.1	MGV-GENOME-0373836_95				MGV	PF10465.12	phrog_2167,phrog_9092
APIS083	CP067347_00056	MGV-GENOME-0374248_85		Intestinibacter	1505657	MGV		phrog_20113
APIS083	CP067347_00056	MGV-GENOME-0374453_34		Bacteria	2	MGV		phrog_20113
APIS029	YP_002300464.1	MGV-GENOME-0374614_167		Lachnospiraceae	186803	MGV	PF11195.11	phrog_30130,phrog_872,phrog_1048
APIS072	IMGVR_UViG_3300039331_000150|3300039331|Ga0169804_01911_10006_10671	MGV-GENOME-0374647_97		Bacteroides	816	MGV	PF07275.14	phrog_2059
APIS002	NP_049728.1	MGV-GENOME-0375157_138				MGV		phrog_717,phrog_26803
APIS017	NP_049811.1	MGV-GENOME-0375157_235				MGV	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS088	uvig_218805_40	MGV-GENOME-0375283_186		Lachnospiraceae	186803	MGV		phrog_20113
APIS002	NP_049728.1	MGV-GENOME-0375647_162				MGV		phrog_717,phrog_26803
APIS016	NP_049750.1	MGV-GENOME-0375647_201				MGV		phrog_755
APIS089	uvig_330502_68	MGV-GENOME-0375906_54		Faecalibacterium	216851	MGV		phrog_18122,phrog_27100,phrog_4400,phrog_37109,phrog_16176
APIS002	NP_049728.1	MGV-GENOME-0375924_99				MGV		phrog_717,phrog_26803
APIS088	uvig_218805_40	MGV-GENOME-0376196_82		Lachnospiraceae	186803	MGV		phrog_20113
APIS024	UPI13470.1	MGV-GENOME-0376498_44				MGV		phrog_2428
APIS018	NP_049868.1	MGV-GENOME-0377341_131				MGV		phrog_3151
APIS022	NP_861724.1	MGV-GENOME-0377341_187				MGV		phrog_3781,phrog_8539,phrog_4122
APIS012	NP_049652.1	MGV-GENOME-0377341_189				MGV		phrog_8921,phrog_2375,phrog_3272,phrog_12748
APIS014	NP_049694.1	MGV-GENOME-0377341_231				MGV	PF10465.12	phrog_2167,phrog_9092
APIS002	NP_049728.1	MGV-GENOME-0377341_264				MGV		phrog_717,phrog_26803
APIS017	NP_049811.1	MGV-GENOME-0377341_75				MGV	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS018	NP_049868.1	MGV-GENOME-0377451_137				MGV		phrog_3151
APIS017	NP_049811.1	MGV-GENOME-0377451_193				MGV	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS002	NP_049728.1	MGV-GENOME-0377451_2				MGV		phrog_717,phrog_26803
APIS090	NP_049749.1	MGV-GENOME-0377451_246				MGV	PF11634.11	phrog_4363
APIS014	NP_049694.1	MGV-GENOME-0377451_40				MGV	PF10465.12	phrog_2167,phrog_9092
APIS086	ON229909_00228	MGV-GENOME-0377451_82				MGV		phrog_8921,phrog_2375,phrog_3272,phrog_12748
APIS022	NP_861724.1	MGV-GENOME-0377451_85				MGV		phrog_3781,phrog_8539,phrog_4122
APIS015	NP_049734.1	MGV-GENOME-0377468_124				MGV		phrog_7857
APIS015	NP_049734.1	MGV-GENOME-0377499_216				MGV		phrog_7857
APIS014	NP_049694.1	MGV-GENOME-0377517_12				MGV	PF10465.12	phrog_2167
APIS016	NP_049750.1	MGV-GENOME-0377517_209				MGV		phrog_755
APIS090	NP_049749.1	MGV-GENOME-0377517_210				MGV	PF11634.11	phrog_4363
APIS013	NP_049653.1	MGV-GENOME-0377517_57				MGV	PF17587.5	phrog_2102
APIS086	ON229909_00228	MGV-GENOME-0377517_58				MGV		phrog_8921,phrog_2375,phrog_12748
APIS022	NP_861724.1	MGV-GENOME-0377517_62				MGV		phrog_3781,phrog_8539,phrog_4122
APIS016	NP_049750.1	MGV-GENOME-0377569_108				MGV		phrog_755
APIS002	NP_049728.1	MGV-GENOME-0377569_131				MGV		phrog_717,phrog_26803
APIS014	NP_049694.1	MGV-GENOME-0377569_169				MGV	PF10465.12	phrog_2167,phrog_9092
APIS013	NP_049653.1	MGV-GENOME-0377569_212				MGV	PF17587.5	phrog_2102
APIS012	NP_049652.1	MGV-GENOME-0377569_213				MGV		phrog_8921,phrog_2375,phrog_3272,phrog_12748
APIS018	NP_049868.1	MGV-GENOME-0377569_267				MGV		phrog_3151
APIS017	NP_049811.1	MGV-GENOME-0377569_53				MGV	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS013	NP_049653.1	MGV-GENOME-0377573_11				MGV	PF17587.5	phrog_2102
APIS090	NP_049749.1	MGV-GENOME-0377573_124				MGV	PF11634.11	phrog_4363
APIS016	NP_049750.1	MGV-GENOME-0377573_125				MGV		phrog_755
APIS014	NP_049694.1	MGV-GENOME-0377573_57				MGV	PF10465.12	phrog_2167
APIS022	NP_861724.1	MGV-GENOME-0377573_7				MGV		phrog_3781,phrog_8539,phrog_4122
APIS018	NP_049868.1	MGV-GENOME-0377588_138				MGV		phrog_3151
APIS017	NP_049811.1	MGV-GENOME-0377588_193				MGV	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS002	NP_049728.1	MGV-GENOME-0377588_2				MGV		phrog_717,phrog_26803
APIS015	NP_049734.1	MGV-GENOME-0377588_265				MGV		phrog_7857
APIS014	NP_049694.1	MGV-GENOME-0377588_41				MGV	PF10465.12	phrog_2167,phrog_9092
APIS012	NP_049652.1	MGV-GENOME-0377588_86				MGV		phrog_8921,phrog_2375,phrog_3272,phrog_12748
APIS022	NP_861724.1	MGV-GENOME-0377588_88				MGV		phrog_3781,phrog_8539,phrog_4122
APIS017	NP_049811.1	MGV-GENOME-0377591_197				MGV	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS002	NP_049728.1	MGV-GENOME-0377591_2				MGV		phrog_717,phrog_26803
APIS014	NP_049694.1	MGV-GENOME-0377591_40				MGV	PF10465.12	phrog_2167,phrog_9092
APIS013	NP_049653.1	MGV-GENOME-0377591_83				MGV	PF17587.5	phrog_2102
APIS014	NP_049694.1	MGV-GENOME-0377602_183				MGV	PF10465.12	phrog_2167,phrog_9092
APIS016	NP_049750.1	MGV-GENOME-0377602_246				MGV		phrog_755
APIS017	NP_049811.1	MGV-GENOME-0377602_36				MGV	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS018	NP_049868.1	MGV-GENOME-0377602_92				MGV		phrog_3151
APIS022	NP_861724.1	MGV-GENOME-0377637_161				MGV		phrog_3781,phrog_8539,phrog_4122
APIS013	NP_049653.1	MGV-GENOME-0377637_166				MGV	PF17587.5	phrog_2102
APIS014	NP_049694.1	MGV-GENOME-0377637_213				MGV	PF10465.12	phrog_2167
APIS016	NP_049750.1	MGV-GENOME-0377637_9				MGV		phrog_755
APIS015	NP_049734.1	MGV-GENOME-0377667_253				MGV		phrog_7857
APIS017	NP_049811.1	MGV-GENOME-0377667_51				MGV	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS088	uvig_218805_40	MGV-GENOME-0377738_19		Lachnospiraceae	186803	MGV		phrog_20113
APIS002	NP_049728.1	MGV-GENOME-0377830_131				MGV		phrog_717,phrog_26803
APIS017	NP_049811.1	MGV-GENOME-0377830_39				MGV	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS029	YP_002300464.1	MGV-GENOME-0377980_240		Lachnospiraceae	186803	MGV	PF11195.11	phrog_30130,phrog_872,phrog_1048
APIS088	uvig_218805_40	MGV-GENOME-0378024_80		Lachnospiraceae	186803	MGV		phrog_20113
APIS088	uvig_218805_40	MGV-GENOME-0378439_58		Blautia	572511	MGV		phrog_20113
APIS088	uvig_218805_40	MGV-GENOME-0379397_30		Lachnospiraceae	186803	MGV		phrog_20113
APIS063	IMGVR_UViG_3300031923_000006|3300031923|Ga0326331_1000015821	MGV-GENOME-0379399_160				MGV	PF07275.14	phrog_2059
APIS024	UPI13470.1	MGV-GENOME-4414450_35		CAG-110		MGV		phrog_22140,phrog_23843,phrog_2428
APIS030	YP_006479.1	MGV-GENOME-4430757_74		Escherichia	561	MGV	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS083	CP067347_00056	MGV-GENOME-4431062_40		CAG-353		MGV		phrog_20113
APIS083	CP067347_00056	MGV-GENOME-4432118_39		CAG-353		MGV		phrog_20113
APIS030	YP_006479.1	MGV-GENOME-4433070_89		Escherichia	561	MGV	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS031	YP_006494.1	MGV-GENOME-4433070_99		Escherichia	561	MGV	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS088	uvig_218805_40	MGV-GENOME-4433876_45		Lachnospiraceae	186803	MGV		phrog_20113
APIS002	NP_049728.1	MGV-GENOME-4435766_177				MGV		phrog_717,phrog_26803
APIS091	YP_009792928.1	MH031343_00007	Escherichia phage vB_EcoP_S523	Escherichia	561	INPHARED		phrog_2226
APIS017	NP_049811.1	MH051913_00078	Enterobacteria phage vB_EcoM_IME281	Enterobacteria	543	INPHARED	PF03496.17	phrog_26651,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS017	NP_049811.1	MH051915_00077	Enterobacteria phage vB_EcoM_IME339	Enterobacteria	543	INPHARED	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS090	NP_049749.1	MH051915_00130	Enterobacteria phage vB_EcoM_IME339	Enterobacteria	543	INPHARED	PF11634.11	phrog_4363
APIS014	NP_049694.1	MH051915_00195	Enterobacteria phage vB_EcoM_IME339	Enterobacteria	543	INPHARED	PF10465.12	phrog_2167,phrog_9092
APIS017	NP_049811.1	MH051916_00075	Enterobacteria phage vB_EcoM_IME340	Enterobacteria	543	INPHARED	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS014	NP_049694.1	MH051916_00198	Enterobacteria phage vB_EcoM_IME340	Enterobacteria	543	INPHARED	PF10465.12	phrog_2167,phrog_9092
APIS017	NP_049811.1	MH051917_00079	Enterobacteria phage vB_EcoM_IME341	Enterobacteria	543	INPHARED	PF03496.17	phrog_26651,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS015	NP_049734.1	MH051917_00166	Enterobacteria phage vB_EcoM_IME341	Enterobacteria	543	INPHARED		phrog_7857
APIS080	ON602753_00020	MH059637_00020	Pectobacterium phage Jarilo	Pectobacterium	122277	INPHARED	PF17574.5	phrog_2254
APIS030	YP_006479.1	MH160767_00007	Escherichia phage vB_EcoM-Ro157c2YLVW	Escherichia	561	INPHARED	PF02384.19,PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS031	YP_006494.1	MH160767_00018	Escherichia phage vB_EcoM-Ro157c2YLVW	Escherichia	561	INPHARED	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS091	YP_009792928.1	MH172261_00001	Klebsiella phage KP32_isolate 192	Klebsiella	570	INPHARED		phrog_2226
APIS091	YP_009792928.1	MH172262_00001	Klebsiella phage KP32_isolate 194	Klebsiella	570	INPHARED		phrog_2226
APIS091	YP_009792928.1	MH172263_00001	Klebsiella phage KP32_isolate 195	Klebsiella	570	INPHARED		phrog_2226
APIS035	YP_009790938.1	MH203051_00062	Escherichia phage Gostya9	Escherichia	561	INPHARED		phrog_3972,phrog_16544
APIS043	MH238467_00052	MH238467_00052	Pasteurella phage Pm86	Pasteurella	745	INPHARED	PF13876.9,PF11195.11	phrog_3934,phrog_872,phrog_322,phrog_34966,phrog_4435,phrog_9467,phrog_1048,phrog_16684
APIS022	NP_861724.1	MH243438_00031	Escherichia phage vB_EcoM_NBG1	Escherichia	561	INPHARED		phrog_3781,phrog_8539,phrog_4122
APIS014	NP_049694.1	MH243438_00082	Escherichia phage vB_EcoM_NBG1	Escherichia	561	INPHARED	PF10465.12	phrog_2167
APIS017	NP_049811.1	MH243439_00193	Escherichia phage vB_EcoM_NBG2	Escherichia	561	INPHARED	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS014	NP_049694.1	MH359124_00117	Escherichia phage SF	Escherichia	561	INPHARED	PF10465.12	phrog_2167
APIS022	NP_861724.1	MH359124_00168	Escherichia phage SF	Escherichia	561	INPHARED		phrog_3781,phrog_8539,phrog_4122
APIS020	NP_059594.1	MH370364_00049	Salmonella phage S107	Salmonella	590	INPHARED	PF11043.11	phrog_656
APIS011	NP_041980.1	MH370477_00025	Escherichia phage SRT7	Escherichia	561	INPHARED	PF17574.5	phrog_2254
APIS091	YP_009792928.1	MH370477_00048	Escherichia phage SRT7	Escherichia	561	INPHARED		phrog_2226
APIS077	KU946962_00005	MH382198_00008	Salmonella phage 3A_8767	Salmonella	590	INPHARED	PF08684.13	phrog_2568
APIS011	NP_041980.1	MH382198_00028	Salmonella phage 3A_8767	Salmonella	590	INPHARED	PF17574.5	phrog_2254
APIS023	NP_041987.1	MH382198_00033	Salmonella phage 3A_8767	Salmonella	590	INPHARED		phrog_9014
APIS077	KU946962_00005	MH400309_00003	Escherichia phage Vec13	Escherichia	561	INPHARED	PF08684.13	phrog_2568
APIS030	YP_006479.1	MH445380_00129	Escherichia phage P1	Escherichia	561	INPHARED	PF00176.26,PF00176.26,PF00271.34	phrog_1685,phrog_37568,phrog_9133,phrog_29705,phrog_10818,phrog_21829,phrog_10089,phrog_62,phrog_11801,phrog_21007
APIS031	YP_006494.1	MH445380_00139	Escherichia phage P1	Escherichia	561	INPHARED	PF18788.4,PF18789.4	phrog_21969,phrog_1926,phrog_1639,phrog_26978,phrog_8883
APIS091	YP_009792928.1	MH464253_00008	Shigella phage SFPH2	Shigella	620	INPHARED		phrog_2226
APIS091	YP_009792928.1	MH491167_00009	Cronobacter phage GW1	Cronobacter	413496	INPHARED		phrog_2226
APIS022	NP_861724.1	MH553563_00037	Enterobacteria phage RB18	Enterobacteria	543	INPHARED		phrog_3781,phrog_8539,phrog_4122
APIS017	NP_049811.1	MH553563_00204	Enterobacteria phage RB18	Enterobacteria	543	INPHARED	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS091	YP_009792928.1	MH587638_00002	Klebsiella phage vB_KpnP_IME321	Klebsiella	570	INPHARED		phrog_2226
APIS001	YP_009840594.1	MH606185_00128	Bacillus phage BSP38	Bacillus	1386	INPHARED	PF00753.30	phrog_392
APIS024	UPI13470.1	MH606185_00141	Bacillus phage BSP38	Bacillus	1386	INPHARED		phrog_22140,phrog_23843,phrog_2428
APIS024	UPI13470.1	MH638312_00146	Bacillus phage Kioshi	Bacillus	1386	INPHARED		phrog_22140,phrog_23843,phrog_2428
APIS010	NP_041954.1	MH717099_00001	Escherichia phage C5	Escherichia	561	INPHARED	PF08684.13	phrog_2568
APIS023	NP_041987.1	MH717099_00028	Escherichia phage C5	Escherichia	561	INPHARED		phrog_9014
APIS077	KU946962_00005	MH729818_00006	Escherichia phage LL11	Escherichia	561	INPHARED	PF08684.13	phrog_2568
APIS055	OL763419_00042	MH791406_00059	Pseudomonas phage PaSz-4	Pseudomonas	286	INPHARED	PF03230.16	phrog_10132
APIS017	NP_049811.1	MH791409_00020	Escherichia phage EcWhh-1	Escherichia	561	INPHARED	PF03496.17	phrog_26651,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS002	NP_049728.1	MH791409_00209	Escherichia phage EcWhh-1	Escherichia	561	INPHARED		phrog_717,phrog_26803
APIS013	NP_049653.1	MH837626_00148	Escherichia phage vB_vPM_PD112	Escherichia	561	INPHARED	PF17587.5	phrog_2102
APIS002	NP_049728.1	MH837626_00228	Escherichia phage vB_vPM_PD112	Escherichia	561	INPHARED		phrog_717,phrog_26803
APIS017	NP_049811.1	MH992121_00052	Escherichia phage MLF4	Escherichia	561	INPHARED	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS014	NP_049694.1	MH992121_00178	Escherichia phage MLF4	Escherichia	561	INPHARED	PF10465.12	phrog_2167,phrog_9092
APIS022	NP_861724.1	MH992122_00031	Escherichia phage OLB35	Escherichia	561	INPHARED		phrog_3781,phrog_8539,phrog_4122
APIS090	NP_049749.1	MH992122_00149	Escherichia phage OLB35	Escherichia	561	INPHARED	PF11634.11	phrog_4363
APIS002	NP_049728.1	MH992510_00116	Escherichia phage vB_EcoM_DalCa	Escherichia	561	INPHARED		phrog_717,phrog_26803
APIS077	KU946962_00005	MK033136_00018	Enterobacter phage EcpYZU01	Enterobacter	547	INPHARED	PF08684.13	phrog_2568
APIS022	NP_861724.1	MK047717_00211	Escherichia phage p000v	Escherichia	561	INPHARED		phrog_3781,phrog_8539,phrog_4122
APIS090	NP_049749.1	MK047718_00016	Escherichia phage p000y	Escherichia	561	INPHARED	PF11634.11	phrog_4363
APIS014	NP_049694.1	MK047718_00092	Escherichia phage p000y	Escherichia	561	INPHARED	PF10465.12	phrog_2167
APIS022	NP_861724.1	MK047718_00142	Escherichia phage p000y	Escherichia	561	INPHARED		phrog_3781,phrog_8539,phrog_4122
APIS091	YP_009792928.1	MK203841_00003	Klebsiella phage Henu1	Klebsiella	570	INPHARED		phrog_2226
APIS015	NP_049734.1	MK234886_00064	Escherichia phage AnYang	Escherichia	561	INPHARED		phrog_7857,phrog_2667
APIS017	NP_049811.1	MK234886_00151	Escherichia phage AnYang	Escherichia	561	INPHARED	PF03496.17	phrog_26651,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS017	NP_049811.1	MK295203_00031	Escherichia phage vB_EcoM_005	Escherichia	561	INPHARED	PF03496.17	phrog_26651,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS015	NP_049734.1	MK295203_00123	Escherichia phage vB_EcoM_005	Escherichia	561	INPHARED		phrog_7857,phrog_2667
APIS010	NP_041954.1	MK310182_00001	Escherichia phage NC-A	Escherichia	561	INPHARED	PF08684.13	phrog_2568
APIS011	NP_041980.1	MK310182_00022	Escherichia phage NC-A	Escherichia	561	INPHARED	PF17574.5	phrog_2254
APIS023	NP_041987.1	MK310182_00028	Escherichia phage NC-A	Escherichia	561	INPHARED		phrog_9014
APIS017	NP_049811.1	MK310184_00094	Phage NC-G			INPHARED	PF03496.17	phrog_26651,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS022	NP_861724.1	MK327928_00036	Escherichia phage vB_EcoM_G2133	Escherichia	561	INPHARED		phrog_3781,phrog_8539,phrog_4122
APIS012	NP_049652.1	MK327928_00038	Escherichia phage vB_EcoM_G2133	Escherichia	561	INPHARED		phrog_8921,phrog_2375,phrog_3272,phrog_12748
APIS013	NP_049653.1	MK327928_00039	Escherichia phage vB_EcoM_G2133	Escherichia	561	INPHARED	PF17587.5	phrog_2102
APIS014	NP_049694.1	MK327929_00077	Escherichia phage D5505	Escherichia	561	INPHARED	PF10465.12	phrog_2167,phrog_9092
APIS022	NP_861724.1	MK327933_00031	Escherichia phage vB_EcoM_G2285	Escherichia	561	INPHARED		phrog_3781,phrog_8539,phrog_4122
APIS014	NP_049694.1	MK327933_00086	Escherichia phage vB_EcoM_G2285	Escherichia	561	INPHARED	PF10465.12	phrog_2167
APIS013	NP_049653.1	MK327934_00036	Escherichia phage vB_EcoM_G2469	Escherichia	561	INPHARED	PF17587.5	phrog_2102
APIS013	NP_049653.1	MK327936_00038	Escherichia phage vB_EcoM_G2540	Escherichia	561	INPHARED	PF17587.5	phrog_2102
APIS016	NP_049750.1	MK327936_00142	Escherichia phage vB_EcoM_G2540	Escherichia	561	INPHARED		phrog_755
APIS017	NP_049811.1	MK327936_00195	Escherichia phage vB_EcoM_G2540	Escherichia	561	INPHARED	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS017	NP_049811.1	MK327937_00199	Escherichia phage vB_EcoM_G10400	Escherichia	561	INPHARED	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS022	NP_861724.1	MK327939_00034	Escherichia phage vB_EcoM_G4498	Escherichia	561	INPHARED		phrog_3781,phrog_8539,phrog_4122
APIS017	NP_049811.1	MK327940_00208	Escherichia phage vB_EcoM_G29	Escherichia	561	INPHARED	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS022	NP_861724.1	MK327942_00035	Escherichia phage vB_EcoM_G50	Escherichia	561	INPHARED		phrog_3781,phrog_8539,phrog_4122
APIS013	NP_049653.1	MK327942_00038	Escherichia phage vB_EcoM_G50	Escherichia	561	INPHARED	PF17587.5	phrog_2102
APIS014	NP_049694.1	MK327942_00077	Escherichia phage vB_EcoM_G50	Escherichia	561	INPHARED	PF10465.12	phrog_2167,phrog_9092
APIS017	NP_049811.1	MK327942_00200	Escherichia phage vB_EcoM_G50	Escherichia	561	INPHARED	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS086	ON229909_00228	MK327943_00035	Escherichia phage vB_EcoM_G53	Escherichia	561	INPHARED		phrog_8921,phrog_2375,phrog_3272,phrog_12748
APIS014	NP_049694.1	MK327943_00081	Escherichia phage vB_EcoM_G53	Escherichia	561	INPHARED	PF10465.12	phrog_2167
APIS022	NP_861724.1	MK327944_00034	Escherichia phage vB_EcoM_G2540-3	Escherichia	561	INPHARED		phrog_3781
APIS017	NP_049811.1	MK327944_00200	Escherichia phage vB_EcoM_G2540-3	Escherichia	561	INPHARED	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144
APIS018	NP_049868.1	MK327944_00257	Escherichia phage vB_EcoM_G2540-3	Escherichia	561	INPHARED		phrog_3151
APIS017	NP_049811.1	MK327946_00206	Escherichia phage vB_EcoM_G4507	Escherichia	561	INPHARED	PF03496.17	phrog_26651,phrog_15247,phrog_23015,phrog_802,phrog_15144,phrog_23966
APIS018	NP_049868.1	MK327946_00264	Escherichia phage vB_EcoM_G4507	Escherichia	561	INPHARED		phrog_3151
